# Fix print output for fix 5
0 -279936.910188125 -281436.613378682 1499.703190557 611.299141579094 152.488390630982 100 -440.011645913799 -434.441447729645 -9.22939886584914 301.826451361074 inf
1000 -279936.92291391 -281436.940370378 1500.01745646754 611.299141579094 152.488390630982 100 -434.226893543894 -463.963199914686 -9.11482385406049 301.889699719255 41243.560172548
2000 -279936.917841539 -281428.305124024 1491.38728248559 611.299141579094 152.488390630982 100 -371.084000248304 -419.982038077221 -2.89721342902887 300.152812844572 41264.5449575964
3000 -279936.920573524 -281435.250078704 1498.32950518089 611.299141579094 152.488390630982 100 -398.337788443296 -409.81959422803 -6.89894927157057 301.549986934667 41568.7687310039
4000 -279936.881989518 -281433.130005494 1496.24801597654 611.299141579094 152.488390630982 100 -384.236989658139 -442.084699092661 -1.13335728231983 301.131071709275 41737.8609761948
5000 -279936.889740461 -281433.740239511 1496.85049905026 611.299141579094 152.488390630982 100 -394.600963378664 -436.198004266002 -1.61898320674914 301.252325920969 41660.6139836008
6000 -279936.903293986 -281430.977090893 1494.07379690656 611.299141579094 152.488390630982 100 -359.323436119021 -484.374545052716 0.865608419808967 300.693493906876 41946.27897977
7000 -279936.897769965 -281426.792425701 1489.89465573567 611.299141579094 152.488390630982 100 -392.830015882413 -512.305702488007 -11.2878508424305 299.852410579662 41886.4793610129
8000 -279936.917123652 -281436.844198123 1499.92707447128 611.299141579094 152.488390630982 100 -312.23691831622 -457.512267361122 3.53392852276173 301.871509668472 41819.8912895214
9000 -279936.897064493 -281426.997153048 1490.10008855469 611.299141579094 152.488390630982 100 -396.438128973507 -468.665997972918 -8.79805879792865 299.893755466537 41782.4836541152
10000 -279936.998872209 -281432.196747889 1495.19787568042 611.299141579094 152.488390630982 100 -361.815269726495 -401.093715212602 11.2464118883644 300.9197231431 41753.6376331685
11000 -279936.954680985 -281433.022484436 1496.06780345081 611.299141579094 152.488390630982 100 -437.388991132071 -445.648668143223 -8.43901101335293 301.09480259451 41727.4320986996
12000 -279936.95907557 -281432.219331589 1495.26025601943 611.299141579094 152.488390630982 100 -408.510112418037 -401.77412294897 -6.31724190202167 300.932277651537 41696.3099867139
13000 -279936.989413504 -281439.062447885 1502.07303438085 611.299141579094 152.488390630982 100 -356.015421740073 -407.498375981722 4.40206350501764 302.30340010409 41663.795834815
14000 -279936.89017134 -281434.067275267 1497.17710392656 611.299141579094 152.488390630982 100 -416.087797281099 -461.787730476364 -4.4738047058542 301.318057588029 41694.4299176993
15000 -279936.889212025 -281437.530391235 1500.64117921046 611.299141579094 152.488390630982 100 -390.581804716893 -416.490983722607 8.73036598119957 302.015228572774 41706.1720493077
16000 -279936.876126675 -281433.839410792 1496.96328411725 611.299141579094 152.488390630982 100 -438.530459924841 -436.646109521633 6.56346906050795 301.275024756812 41786.3618339803
17000 -279936.921170711 -281438.138117924 1501.21694721385 611.299141579094 152.488390630982 100 -427.066137315975 -433.110706168331 5.49218322734091 302.131106177333 41782.0116181266
18000 -279936.910330035 -281439.510367031 1502.60003699697 611.299141579094 152.488390630982 100 -442.288883126049 -463.546426035662 -2.84635585719164 302.409463310785 41827.4285543411
19000 -279936.905586073 -281432.242001875 1495.33641580186 611.299141579094 152.488390630982 100 -383.110291783908 -379.60858832994 13.8324301072021 300.947605375725 41819.3172179253
20000 -279936.883664184 -281433.678473287 1496.79480910235 611.299141579094 152.488390630982 100 -362.246940788159 -446.297922627215 3.09461826534789 301.241117903635 43039.9308280858
21000 -279936.926890178 -281443.312327875 1506.38543769685 611.299141579094 152.488390630982 100 -340.813464367481 -398.711214337901 4.63072322672318 303.171303431831 44535.0627357233
22000 -279936.883896836 -281438.264373574 1501.38047673821 611.299141579094 152.488390630982 100 -427.223393700429 -411.021808913548 8.72312016248939 302.164017713656 44965.8470615408
23000 -279936.906356261 -281438.653592327 1501.74723606592 611.299141579094 152.488390630982 100 -397.724198300154 -423.705759107417 8.67804459222498 302.237830763521 44801.1924278323
24000 -279936.880714557 -281431.992706097 1495.11199153964 611.299141579094 152.488390630982 100 -389.519846787933 -430.14222211132 -1.02480109771485 300.902438319276 44649.3282956559
25000 -279936.909134066 -281439.526669222 1502.6175351558 611.299141579094 152.488390630982 100 -398.567703973578 -444.496287647929 0.56849625909429 302.412984945744 44520.180827888
26000 -279936.945435034 -281427.497283263 1490.55184822857 611.299141579094 152.488390630982 100 -413.700368580639 -447.180970066538 -5.20239042954138 299.98467546997 44406.7818573121
27000 -279936.922617738 -281437.18479346 1500.26217572154 611.299141579094 152.488390630982 100 -370.62321483818 -468.721314645891 11.4763064643354 301.938951294154 44284.631061944
28000 -279936.85356666 -281433.88537422 1497.03180755987 611.299141579094 152.488390630982 100 -438.432406879534 -454.364563791625 -0.367318529741228 301.288815610664 44181.3757436478
29000 -279936.881720167 -281426.858265075 1489.97654490825 611.299141579094 152.488390630982 100 -372.354594406899 -510.444271680818 7.03364647716072 299.868891386346 44083.580162011
30000 -279936.880186434 -281434.34942227 1497.46923583576 611.299141579094 152.488390630982 100 -406.489689913681 -495.890316095668 -1.95034945901164 301.376851313373 43991.0035402345
31000 -279936.923389733 -281430.149874382 1493.22648464915 611.299141579094 152.488390630982 100 -404.284766298304 -478.036324485294 -3.40377493850235 300.522965996114 43897.4900412549
32000 -279936.908153265 -281435.644633164 1498.73647989851 611.299141579094 152.488390630982 100 -382.937007534792 -426.482583904524 -1.5896665662766 301.631893631663 43806.4608990284
